"","AgeIinterval","ClearCell","Endometrioid","Misc","Mucinous","Serous"
"1","0 <= Age < 5","0.00391191908633311","0.00495120115303363","0.93438310705247","0.0407703480790134","0.0159834246291495"
"2","5 <= Age < 10","0.00234339701762168","0.0103786493918849","0.885509186196961","0.0631105640795036","0.0386582033140292"
"3","10 <= Age < 15","0.00108733788290803","0.0173173984002244","0.825304793748074","0.0923146005971526","0.0639758693716414"
"4","15 <= Age < 20","0.000333121167297181","0.0252206742069413","0.759421526603333","0.126137750772933","0.0888869272494957"
"5","20 <= Age < 25","0.00405650820306386","0.0374217404252927","0.681480600654006","0.155052287941996","0.121988862775641"
"6","25 <= Age < 30","0.0226399129932992","0.084256089404089","0.560199855333453","0.142594039465855","0.190310102803303"
"7","30 <= Age < 35","0.0249818328470508","0.165210761498718","0.409914186964353","0.148095275435369","0.251797943254509"
"8","35 <= Age < 40","0.0678469139146633","0.198285037552261","0.312447416053976","0.128480479303318","0.292940153175782"
"9","40 <= Age < 45","0.0792036491160698","0.201749351101039","0.269557362183598","0.0947558534621364","0.354733784137157"
"10","45 <= Age < 50","0.0804628125026083","0.184095442978493","0.247107890294103","0.0769501598853972","0.411383694339398"
"11","50 <= Age < 55","0.0817439415024017","0.156929219781895","0.258776157961172","0.0713973667316842","0.431153314022847"
"12","55 <= Age < 60","0.0675510815105228","0.128213864591389","0.280890900952899","0.0596511895071886","0.463692963438"
"13","60 <= Age < 65","0.0464252831281076","0.105482530623704","0.321352351227136","0.0487847769355308","0.477955058085522"
"14","65 <= Age < 70","0.0315167290989446","0.0943295307013877","0.357741765430281","0.0505139406497851","0.465898034119601"
"15","70 <= Age < 75","0.0276447961414903","0.0771504613201651","0.389870952834479","0.0508294606108218","0.454504329093044"
"16","75 <= Age < 80","0.0258072864635906","0.0659849188530309","0.455687496746564","0.0440358722613147","0.4084844256755"
"17","80 <= Age < 85","0.0174694751840129","0.060407783333726","0.563887920525379","0.0395360927855601","0.318698728171322"
"18","85 <= Age < 90","0.0128889075713387","0.0465993159014139","0.665344587187112","0.0402441760964529","0.234923013243683"
"19","90 <= Age < 95","0.0121836925960637","0.0440487347703842","0.681349578256794","0.0402999062792879","0.22211808809747"
"20","Age >= 95","0.0121836925960637","0.0440487347703842","0.681349578256795","0.0402999062792879","0.22211808809747"
